date,demand
2020-01-01,102.48357076505616
2020-01-02,100.3115242887866
2020-01-03,105.24114483466849
2020-01-04,110.61174225594503
2020-01-05,102.8108020166977
2020-01-06,103.78403558753917
2020-01-07,113.80925486167779
2020-01-08,110.69136279786233
2020-01-09,105.42763071737303
2020-01-10,111.3858089357654
2020-01-11,107.22859835670042
2020-01-12,108.0619809250066
2020-01-13,112.41536547632268
2020-01-14,102.42190991789916
2020-01-15,104.11230651237716
2020-01-16,110.63801782588084
2020-01-17,109.06014380588947
2020-01-18,116.3311417055519
2020-01-19,110.81480505618042
2020-01-20,108.84667665090834
2020-01-21,123.74697936712114
2020-01-22,115.75687744408623
2020-01-23,117.64631350289545
2020-01-24,110.56333952402123
2020-01-25,115.29887263810417
2020-01-26,118.86440616515294
2020-01-27,112.79933667388052
2020-01-28,120.6332126329724
2020-01-29,115.90845316510642
2020-01-30,117.56740201862213
2020-01-31,116.08984690272788
2020-02-01,128.39173666250477
2020-02-02,119.05563484122818
2020-02-03,113.78967914493415
2020-02-04,123.11010537298172
2020-02-05,112.77820124046188
2020-02-06,119.77967780687929
2020-02-07,108.76000478784238
2020-02-08,111.7127634717528
2020-02-09,119.10809213662556
2020-02-10,121.56348914316182
2020-02-11,118.45527171793982
2020-02-12,116.73008237121934
2020-02-13,115.49811153389228
2020-02-14,109.2945976435727
2020-02-15,112.76274654629486
2020-02-16,113.72766662716872
2020-02-17,120.98247414007847
2020-02-18,117.08105627695944
2020-02-19,106.21695438125987
2020-02-20,116.32782924500788
2020-02-21,112.46626442792254
2020-02-22,110.70325242593665
2020-02-23,116.8572052945128
2020-02-24,118.68234628967966
2020-02-25,117.93254752910256
2020-02-26,108.8517503545147
2020-02-27,111.29887687139812
2020-02-28,114.3261697462832
2020-02-29,117.40258404230639
2020-03-01,110.01622934592095
2020-03-02,111.40528424483914
2020-03-03,106.75946634476368
2020-03-04,106.30543931831104
2020-03-05,116.38371863101075
2020-03-06,119.1775336095939
2020-03-07,112.15331297898749
2020-03-08,117.690816783072
2020-03-09,114.68466088614376
